department,pop_center_id,hospital_count,centroid_lat,centroid_lon
LIMA,117801,5,-11.988808853999947,-76.90049592299994
LIMA,117802,7,-11.977036455999947,-76.94097587899995
LIMA,117803,13,-11.979317996999956,-76.98029688199995
LIMA,117804,8,-11.96613546399993,-76.97390535099998
LIMA,117805,7,-11.958146049999984,-76.97603586199995
LIMA,117806,7,-11.978178564999947,-76.94974329599995
LIMA,117807,4,-11.939370927999962,-76.97031011499996
LIMA,117808,0,-11.82023345899994,-76.99169133799995
LIMA,117809,0,-11.778065341999941,-76.97951956799994
LIMA,117810,0,-11.76648573099994,-76.97594347999996
LIMA,117811,0,-11.734249040999938,-76.98055374599994
LIMA,117812,0,-11.738565140999974,-76.96730881399998
LIMA,117813,0,-11.697221145999942,-76.86359146399997
LIMA,117814,0,-11.697312963999934,-76.85558684699998
LIMA,117815,0,-11.698856457999968,-76.85156216899998
LIMA,117816,0,-11.657543338999975,-76.77097704799996
LIMA,117817,0,-11.654079221999956,-76.73320700799997
LIMA,117818,0,-11.633044951999972,-76.70591255999994
LIMA,117819,0,-11.61590029199994,-76.77379539799995
LIMA,117820,0,-11.581800221999972,-76.74768269799995
LIMA,117821,0,-11.55950482899993,-76.72013502899995
LIMA,117822,0,-11.564140391999958,-76.72080327999998
LIMA,117823,0,-11.570494610999962,-76.70856185199995
LIMA,117824,0,-11.568500174999938,-76.70067541599997
LIMA,117825,0,-11.543446244999929,-76.71200071399994
LIMA,117826,0,-11.523854579999982,-76.74994480699996
LIMA,117827,0,-11.520155434999934,-76.75498439099994
LIMA,117828,0,-11.511695689999957,-76.758074331
LIMA,117829,0,-11.517986832999945,-76.73157978699999
LIMA,117830,0,-11.524608059999931,-76.73336568599996
LIMA,117831,0,-11.523944013999943,-76.72009457999997
LIMA,117832,0,-11.519984591999958,-76.71372815099994
LIMA,117833,0,-11.501840487999958,-76.68669936099997
LIMA,117834,0,-11.514280464999953,-76.69507385599996
LIMA,117835,0,-11.520009796999936,-76.68243058599995
LIMA,117836,0,-11.531383798999961,-76.68202431199995
LIMA,117837,0,-11.584696270999931,-76.65556657199994
LIMA,117838,0,-11.590822691999966,-76.66008411999996
LIMA,117839,0,-11.591367830999948,-76.65758451199997
